State/UTs,Total Vaccination Doses,Dose1,Dose2,Vaccination Doses Day Before
Andaman and Nicobar,"3,92,160","2,75,024","1,17,136","3,88,298"
Andhra Pradesh,"3,53,73,196","2,44,40,457","1,09,32,739","3,51,84,657"
Arunachal Pradesh,"10,44,586","7,41,067","3,03,519","10,37,033"
Assam,"2,06,42,325","1,67,73,685","38,68,640","2,04,41,848"
Bihar,"4,61,18,381","3,79,28,469","81,89,912","4,56,78,426"
Chandigarh,"12,28,458","8,58,220","3,70,238","12,19,770"
Chhattisgarh,"1,53,08,001","1,15,18,730","37,89,271","1,52,35,390"
Dadra and Nagar Haveli and Daman and Diu,"8,18,079","6,28,888","1,89,191","8,13,330"
Delhi,"1,53,52,867","1,08,43,365","45,09,502","1,51,87,628"
Goa,"16,88,505","11,88,394","5,00,111","16,78,942"
Gujarat,"5,29,86,623","3,85,03,660","1,44,82,963","5,25,90,198"
Haryana,"1,92,19,035","1,41,84,793","50,34,242","1,88,47,625"
Himachal Pradesh,"76,04,412","55,92,174","20,12,238","75,52,935"
Jammu and Kashmir,"95,54,293","69,54,599","25,99,694","94,56,225"
Jharkhand,"1,53,73,725","1,21,11,715","32,62,010","1,52,18,861"
Karnataka,"4,82,16,498","3,55,44,380","1,26,72,118","4,78,97,763"
Kerala,"3,18,74,864","2,28,20,484","90,54,380","3,18,33,263"
Ladakh,"3,21,850","1,98,652","1,23,198","3,19,682"
Lakshadweep,"88,721","53,956","34,765","87,843"
Madhya Pradesh,"5,21,80,990","4,21,65,735","1,00,15,255","5,19,87,485"
Maharashtra,"6,88,99,831","4,99,17,440","1,89,82,391","6,83,71,367"
Manipur,"16,07,089","12,10,078","3,97,011","16,01,610"
Meghalaya,"14,25,612","10,50,744","3,74,868","14,16,102"
Mizoram,"10,00,697","6,80,500","3,20,197","9,86,006"
Nagaland,"9,42,170","6,71,315","2,70,855","9,33,203"
Odisha,"2,60,57,861","1,95,13,895","65,43,966","2,57,35,381"
Puducherry,"8,86,839","6,60,708","2,26,131","8,81,113"
Punjab,"1,65,75,223","1,25,54,977","40,20,246","1,64,34,726"
Rajasthan,"5,07,16,146","3,77,45,950","1,29,70,196","5,02,04,726"
Sikkim,"7,76,031","5,12,478","2,63,553","7,61,009"
Tamil Nadu,"4,02,36,931","3,19,58,019","82,78,912","3,97,06,057"
Telangana,"2,00,01,902","1,44,95,056","55,06,846","1,97,71,670"
Tripura,"35,32,349","24,77,947","10,54,402","34,69,701"
Uttar Pradesh,"8,97,71,769","7,45,35,619","1,52,36,150","8,86,39,075"
Uttarakhand,"95,04,908","70,70,268","24,34,640","94,35,224"
West Bengal,"4,81,29,603","3,43,73,312","1,37,56,291","4,77,74,728"
Miscellaneous,"34,59,747","19,02,502","15,57,245","34,59,424"
